Method,accuracy,f1_score,presicion,recall,N
Graph Laplacian,0.9515151515151515,0.911439114391144,1.0,0.8372881355932204,5
MBO,0.9242424242424242,0.8592870544090055,0.9621848739495799,0.7762711864406779,5
Graph Laplacian,0.9663265306122449,0.9401088929219601,0.9923371647509579,0.8931034482758621,10
MBO,0.9346938775510204,0.8832116788321168,0.937984496124031,0.8344827586206897,10
Graph Laplacian,0.9729166666666667,0.9523809523809524,0.9774436090225563,0.9285714285714286,20
MBO,0.953125,0.918918918918919,0.9272727272727272,0.9107142857142857,20
Graph Laplacian,0.9706521739130435,0.9469548133595286,0.9678714859437751,0.926923076923077,40
MBO,0.9652173913043478,0.9384615384615385,0.9384615384615385,0.9384615384615385,40
Graph Laplacian,0.9738095238095238,0.9493087557603687,0.9626168224299065,0.9363636363636364,80
MBO,0.9654761904761905,0.9356984478935699,0.9134199134199135,0.9590909090909091,80
Graph Laplacian,0.9764705882352941,0.9432624113475176,0.9366197183098591,0.95,160
MBO,0.9705882352941176,0.9310344827586207,0.9,0.9642857142857143,160
