Method,accuracy,f1_score,presicion,recall,N
Graph Laplacian,0.9595959595959596,0.9599198396793586,0.952286282306163,0.9676767676767677,5
MBO,0.8636363636363636,0.8562300319488818,0.9054054054054054,0.8121212121212121,5
Graph Laplacian,0.9612244897959183,0.9613034623217922,0.959349593495935,0.963265306122449,10
MBO,0.9163265306122449,0.9151138716356109,0.9285714285714286,0.9020408163265307,10
Graph Laplacian,0.9645833333333333,0.9648760330578511,0.9569672131147541,0.9729166666666667,20
MBO,0.903125,0.9013785790031813,0.91792656587473,0.8854166666666666,20
Graph Laplacian,0.9619565217391305,0.9616648411829135,0.9690949227373068,0.9543478260869566,40
MBO,0.9347826086956522,0.9334811529933481,0.9524886877828054,0.9152173913043479,40
Graph Laplacian,0.9630952380952381,0.9627851140456183,0.9709443099273608,0.9547619047619048,80
MBO,0.955952380952381,0.9555822328931571,0.9636803874092009,0.9476190476190476,80
Graph Laplacian,0.9588235294117647,0.9579579579579579,0.9785276073619632,0.9382352941176471,160
MBO,0.9602941176470589,0.9596412556053812,0.9756838905775076,0.9441176470588235,160
