Method,accuracy,f1_score,presicion,recall,N
Graph Laplacian,0.950253807106599,0.965948575399583,0.9341397849462365,1.0,5
MBO,0.9370558375634518,0.9533132530120483,1.0,0.9107913669064748,5
Graph Laplacian,0.9680412371134021,0.9780297661233168,0.957004160887656,1.0,10
MBO,0.9752577319587629,0.9823008849557522,1.0,0.9652173913043478,10
Graph Laplacian,0.9872340425531915,0.9912536443148687,0.9826589595375722,1.0,20
MBO,0.9574468085106383,0.9696969696969697,1.0,0.9411764705882353,20
Graph Laplacian,0.990909090909091,0.9939759036144578,0.9880239520958084,1.0,40
MBO,0.95,0.9655172413793104,1.0,0.9333333333333333,40
Graph Laplacian,0.9907894736842106,0.9943865276663993,0.988835725677831,1.0,80
MBO,0.968421052631579,0.9802631578947368,1.0,0.9612903225806452,80
Graph Laplacian,1.0,1.0,1.0,1.0,160
MBO,0.9555555555555556,0.9772727272727273,1.0,0.9555555555555556,160
