Method,accuracy,f1_score,presicion,recall,N
Graph Laplacian,0.702020202020202,0.8249258160237388,0.702020202020202,1.0,5
MBO,0.997979797979798,0.9985611510791367,0.9985611510791367,0.9985611510791367,5
Graph Laplacian,0.7040816326530612,0.8263473053892215,0.7040816326530612,1.0,10
MBO,0.9836734693877551,0.9885386819484241,0.9773371104815864,1.0,10
Graph Laplacian,0.8239583333333333,0.8894702419882277,0.800942285041225,1.0,20
MBO,0.996875,0.9977989728539985,0.9956076134699854,1.0,20
Graph Laplacian,0.8978260869565218,0.9335219236209334,0.8753315649867374,1.0,40
MBO,0.9945652173913043,0.9962264150943396,0.9924812030075187,1.0,40
Graph Laplacian,0.9357142857142857,0.9582689335394127,0.9198813056379822,1.0,80
MBO,0.9988095238095238,0.9991941982272361,0.998389694041868,1.0,80
Graph Laplacian,0.975,0.9845031905195989,0.9694793536804309,1.0,160
MBO,1.0,1.0,1.0,1.0,160
