Method,accuracy,f1_score,presicion,recall,N
Graph Laplacian,0.49746192893401014,0.664406779661017,0.49746192893401014,1.0,5
MBO,0.9878172588832488,0.9879032258064516,0.9760956175298805,1.0,5
Graph Laplacian,0.4948453608247423,0.6620689655172414,0.4948453608247423,1.0,10
MBO,0.9536082474226805,0.955223880597015,0.9142857142857143,1.0,10
Graph Laplacian,0.7829787234042553,0.8185053380782917,0.6927710843373494,1.0,20
MBO,0.9606382978723405,0.961337513061651,0.9255533199195171,1.0,20
Graph Laplacian,0.9352272727272727,0.9364548494983278,0.8805031446540881,1.0,40
MBO,0.9715909090909091,0.9710982658959537,0.9438202247191011,1.0,40
Graph Laplacian,0.968421052631579,0.9659090909090909,0.9340659340659341,1.0,80
MBO,0.9565789473684211,0.9537166900420757,0.9115281501340483,1.0,80
Graph Laplacian,0.9807692307692307,0.972972972972973,0.9473684210526315,1.0,160
MBO,0.95,0.932642487046632,0.8737864077669902,1.0,160
