Method,accuracy,f1_score,presicion,recall,N
Graph Laplacian,0.9137055837563451,0.9423728813559323,0.8910256410256411,1.0,5
MBO,0.9472081218274112,0.9611360239162929,1.0,0.9251798561151079,5
Graph Laplacian,0.9422680412371134,0.9610027855153203,0.9249329758713136,1.0,10
MBO,0.9896907216494846,0.9927007299270074,1.0,0.9855072463768116,10
Graph Laplacian,0.9776595744680852,0.9847936278059377,0.9700427960057061,1.0,20
MBO,0.9329787234042554,0.9514263685427911,1.0,0.9073529411764706,20
Graph Laplacian,0.975,0.9836065573770492,0.967741935483871,1.0,40
MBO,0.9613636363636363,0.973561430793157,1.0,0.9484848484848485,40
Graph Laplacian,0.9973684210526316,0.998389694041868,0.9967845659163987,1.0,80
MBO,0.9092105263157895,0.9410760034158838,1.0,0.8887096774193548,80
Graph Laplacian,1.0,1.0,1.0,1.0,160
MBO,0.9259259259259259,0.9615384615384615,1.0,0.9259259259259259,160
